project,from_name,to_name,from_url,to_url,from_fqs,from_tctracer_fqs,from_testlinker_fqs,to_fqs,to_tctracer_fqs,to_testlinker_fqs,from_artifact,to_artifact,to_call_depth,label,tags,notes
spring-framework,getBeanWhenUsingRegularSupplier,getBean,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/test/java/org/springframework/beans/factory/support/BeanFactorySupplierTests.java#L38,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/main/java/org/springframework/beans/factory/support/AbstractBeanFactory.java#L195,org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.AbstractBeanFactory.getBean(java.lang.String),org.springframework.beans.factory.support.AbstractBeanFactory.getBean(String),org.springframework.beans.factory.support.AbstractBeanFactory.getBean(String),#test-code #test-case-method,#main-code,1,1,,
spring-framework,getBeanWhenUsingRegularSupplier,registerBeanDefinition,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/test/java/org/springframework/beans/factory/support/BeanFactorySupplierTests.java#L38,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/main/java/org/springframework/beans/factory/support/DefaultListableBeanFactory.java#L1245,org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),"org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(java.lang.String, org.springframework.beans.factory.config.BeanDefinition)","org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(String, BeanDefinition)","org.springframework.beans.factory.support.DefaultListableBeanFactory.registerBeanDefinition(String, RootBeanDefinition)",#test-code #test-case-method,#main-code,1,0,,
spring-framework,getBeanWhenUsingRegularSupplier,DefaultListableBeanFactory,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/test/java/org/springframework/beans/factory/support/BeanFactorySupplierTests.java#L38,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/main/java/org/springframework/beans/factory/support/DefaultListableBeanFactory.java#L227,org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.DefaultListableBeanFactory.DefaultListableBeanFactory(),org.springframework.beans.factory.support.DefaultListableBeanFactory.DefaultListableBeanFactory(),org.springframework.beans.factory.support.DefaultListableBeanFactory.DefaultListableBeanFactory(),#test-code #test-case-method,#main-code,1,0,,
spring-framework,getBeanWhenUsingRegularSupplier,RootBeanDefinition,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/test/java/org/springframework/beans/factory/support/BeanFactorySupplierTests.java#L38,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/main/java/org/springframework/beans/factory/support/RootBeanDefinition.java#L133,org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.RootBeanDefinition.RootBeanDefinition(),org.springframework.beans.factory.support.RootBeanDefinition.RootBeanDefinition(),org.springframework.beans.factory.support.RootBeanDefinition.RootBeanDefinition(),#test-code #test-case-method,#main-code,1,0,,
spring-framework,getBeanWhenUsingRegularSupplier,HttpHeadersAssert,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/test/java/org/springframework/beans/factory/support/BeanFactorySupplierTests.java#L38,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-test/src/main/java/org/springframework/test/http/HttpHeadersAssert.java#L47,org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.test.http.HttpHeadersAssert.HttpHeadersAssert(org.springframework.http.HttpHeaders),org.springframework.test.http.HttpHeadersAssert.HttpHeadersAssert(HttpHeaders),org.springframework.test.http.HttpHeadersAssert.HttpHeadersAssert(HttpHeaders),#test-code #test-case-method,#main-code,2,0,,
spring-framework,getBeanWhenUsingRegularSupplier,isEqualTo,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/test/java/org/springframework/beans/factory/support/BeanFactorySupplierTests.java#L38,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-test/src/main/java/org/springframework/test/http/MediaTypeAssert.java#L55,org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.test.http.MediaTypeAssert.isEqualTo(java.lang.String),org.springframework.test.http.MediaTypeAssert.isEqualTo(String),org.springframework.test.http.MediaTypeAssert.isEqualTo(String),#test-code #test-case-method,#main-code,1,0,,
spring-framework,getBeanWhenUsingRegularSupplier,assertThat,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-beans/src/test/java/org/springframework/beans/factory/support/BeanFactorySupplierTests.java#L38,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-test/src/test/java/org/springframework/test/http/HttpHeadersAssertTests.java#L459,org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.beans.factory.support.BeanFactorySupplierTests.getBeanWhenUsingRegularSupplier(),org.springframework.test.http.HttpHeadersAssertTests.assertThat(org.springframework.http.HttpHeaders),org.springframework.test.http.HttpHeadersAssertTests.assertThat(HttpHeaders),org.springframework.test.http.HttpHeadersAssertTests.assertThat(HttpHeaders),#test-code #test-case-method,#test-code #test-helper-method,1,0,,
spring-framework,classGetDeclaredFieldsShouldMatchTypeReflectionHint,matcher,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core-test/src/test/java/org/springframework/aot/agent/InstrumentedMethodTests.java#L366,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core-test/src/main/java/org/springframework/aot/agent/InstrumentedMethod.java#L369,org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.aot.agent.InstrumentedMethod.matcher(org.springframework.aot.agent.RecordedInvocation),org.springframework.aot.agent.InstrumentedMethod.matcher(RecordedInvocation),org.springframework.aot.agent.InstrumentedMethod.matcher(RecordedInvocation),#test-code #test-case-method,#main-code,2,0,,
spring-framework,classGetDeclaredFieldsShouldMatchTypeReflectionHint,assertThatInvocationMatches,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core-test/src/test/java/org/springframework/aot/agent/InstrumentedMethodTests.java#L366,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core-test/src/test/java/org/springframework/aot/agent/InstrumentedMethodTests.java#L509,org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),"org.springframework.aot.agent.InstrumentedMethodTests.assertThatInvocationMatches(org.springframework.aot.agent.InstrumentedMethod, org.springframework.aot.agent.RecordedInvocation)","org.springframework.aot.agent.InstrumentedMethodTests.assertThatInvocationMatches(InstrumentedMethod, RecordedInvocation)","org.springframework.aot.agent.InstrumentedMethodTests.assertThatInvocationMatches(InstrumentedMethod, RecordedInvocation)",#test-code #test-case-method,#test-code #test-helper-method,1,0,,
spring-framework,classGetDeclaredFieldsShouldMatchTypeReflectionHint,registerType,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core-test/src/test/java/org/springframework/aot/agent/InstrumentedMethodTests.java#L366,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core/src/main/java/org/springframework/aot/hint/ReflectionHints.java#L124,org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),"org.springframework.aot.hint.ReflectionHints.registerType(java.lang.Class<?>, org.springframework.aot.hint.MemberCategory...)","org.springframework.aot.hint.ReflectionHints.registerType(Class, MemberCategory)",org.springframework.aot.hint.ReflectionHints.registerType(Class),#test-code #test-case-method,#main-code,1,1,,
spring-framework,classGetDeclaredFieldsShouldMatchTypeReflectionHint,reflection,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core-test/src/test/java/org/springframework/aot/agent/InstrumentedMethodTests.java#L366,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core/src/main/java/org/springframework/aot/hint/RuntimeHints.java#L51,org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.aot.hint.RuntimeHints.reflection(),org.springframework.aot.hint.RuntimeHints.reflection(),org.springframework.aot.hint.RuntimeHints.reflection(),#test-code #test-case-method,#main-code,1,0,,
spring-framework,classGetDeclaredFieldsShouldMatchTypeReflectionHint,HttpHeadersAssert,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core-test/src/test/java/org/springframework/aot/agent/InstrumentedMethodTests.java#L366,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-test/src/main/java/org/springframework/test/http/HttpHeadersAssert.java#L47,org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.aot.agent.InstrumentedMethodTests.FieldReflectionInstrumentationTests.classGetDeclaredFieldsShouldMatchTypeReflectionHint(),org.springframework.test.http.HttpHeadersAssert.HttpHeadersAssert(org.springframework.http.HttpHeaders),org.springframework.test.http.HttpHeadersAssert.HttpHeadersAssert(HttpHeaders),org.springframework.test.http.HttpHeadersAssert.HttpHeadersAssert(HttpHeaders),#test-code #test-case-method,#main-code,3,0,,
spring-framework,getIntThrowsNoSuchElementException,getInt,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core/src/test/java/org/springframework/core/annotation/MissingMergedAnnotationTests.java#L154,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core/src/main/java/org/springframework/core/annotation/MergedAnnotation.java#L257,org.springframework.core.annotation.MissingMergedAnnotationTests.getIntThrowsNoSuchElementException(),org.springframework.core.annotation.MissingMergedAnnotationTests.getIntThrowsNoSuchElementException(),org.springframework.core.annotation.MissingMergedAnnotationTests.getIntThrowsNoSuchElementException(),org.springframework.core.annotation.MergedAnnotation.getInt(java.lang.String),org.springframework.core.annotation.MergedAnnotation.getInt(String),org.springframework.core.annotation.MergedAnnotation.getInt(String),#test-code #test-case-method,#main-code,1,1,,
spring-framework,getIntThrowsNoSuchElementException,assertThatNoSuchElementException,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core/src/test/java/org/springframework/core/annotation/MissingMergedAnnotationTests.java#L154,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core/src/test/java/org/springframework/core/annotation/MissingMergedAnnotationTests.java#L299,org.springframework.core.annotation.MissingMergedAnnotationTests.getIntThrowsNoSuchElementException(),org.springframework.core.annotation.MissingMergedAnnotationTests.getIntThrowsNoSuchElementException(),org.springframework.core.annotation.MissingMergedAnnotationTests.getIntThrowsNoSuchElementException(),org.springframework.core.annotation.MissingMergedAnnotationTests.assertThatNoSuchElementException(),org.springframework.core.annotation.MissingMergedAnnotationTests.assertThatNoSuchElementException(),org.springframework.core.annotation.MissingMergedAnnotationTests.assertThatNoSuchElementException(),#test-code #test-case-method,#test-code #test-helper-method,1,0,,
spring-framework,asMapReturnsEmptyMap,asMap,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core/src/test/java/org/springframework/core/annotation/MissingMergedAnnotationTests.java#L287,https://github.com/spring-projects/spring-framework/blob/16f4b23c328500353194dfeb59e7a68550564ca8/spring-core/src/main/java/org/springframework/core/annotation/MergedAnnotation.java#L467,org.springframework.core.annotation.MissingMergedAnnotationTests.asMapReturnsEmptyMap(),org.springframework.core.annotation.MissingMergedAnnotationTests.asMapReturnsEmptyMap(),org.springframework.core.annotation.MissingMergedAnnotationTests.asMapReturnsEmptyMap(),org.springframework.core.annotation.MergedAnnotation.asMap(org.springframework.core.annotation.MergedAnnotation.Adapt...),org.springframework.core.annotation.MergedAnnotation.asMap(Adapt),org.springframework.core.annotation.MergedAnnotation.asMap(),#test-code #test-case-method,#main-code,1,1,,
